source_file,line_number,raw_line,cleaned_name,metadata
2008_09_names.txt,17,Guy Savoie,Guy Savoie,
2008_09_names.txt,20,Jonelle van Delft,Jonelle van Delft,
2008_09_names.txt,25,Joseph A. Berkovit s,Joseph A. Berkovit s,
2008_09_names.txt,28,Louis Bourgon,Louis Bourgon,
2008_09_names.txt,31,Elizabet h Brown,Elizabet h Brown,
2008_09_names.txt,33,Enza Buffa,Enza Buffa,
2008_09_names.txt,35,William Burke,William Burke,
2008_09_names.txt,37,Rut h Carey,Rut h Carey,
2008_09_names.txt,39,Vincent Ching,Vincent Ching,
2008_09_names.txt,42,Brian Cormier,Brian Cormier,
2008_09_names.txt,44,Nancy Fahlgren,Nancy Fahlgren,
2008_09_names.txt,46,Cat hryn Forbes,Cat hryn Forbes,
2008_09_names.txt,50,Bit t u George (Part -Time Member),Bit t u George,Part -Time Member
2008_09_names.txt,52,Suparna Ghosh (Part -Time Member),Suparna Ghosh,Part -Time Member
2008_09_names.txt,54,Pearl Gréwal (Part -Time Member),Pearl Gréwal,Part -Time Member
2008_09_names.txt,58,Dan Helsberg,Dan Helsberg,
2008_09_names.txt,60,Brenna Homeniuk,Brenna Homeniuk,
2008_09_names.txt,62,Elke Homsi,Elke Homsi,
2008_09_names.txt,64,Judy Ireland (Part -Time Member),Judy Ireland,Part -Time Member
2008_09_names.txt,66,Kennet h Jepson,Kennet h Jepson,
2008_09_names.txt,68,Greg Joy,Greg Joy,
2008_09_names.txt,70,Caroline King,Caroline King,
2008_09_names.txt,72,Jessica Kowalski,Jessica Kowalski,
2008_09_names.txt,77,Olga Luft ig,Olga Luft ig,
2008_09_names.txt,80,Wayne MacKinnon,Wayne MacKinnon,
2008_09_names.txt,82,Ina Maher (Part -Time Member),Ina Maher,Part -Time Member
2008_09_names.txt,84,Ieva Mart in,Ieva Mart in,
2008_09_names.txt,88,Brian McKee,Brian McKee,
2008_09_names.txt,90,Jim McMast er,Jim McMast er,
2008_09_names.txt,92,Alan Mervin (Part -Time Member),Alan Mervin,Part -Time Member
2008_09_names.txt,94,Christ ina Budwet h Mingay (Part -Time Member),Christ ina Budwet h Mingay,Part -Time Member
2008_09_names.txt,96,Gerald Naud,Gerald Naud,
2008_09_names.txt,98,Lynn Neil (Part -Time Member),Lynn Neil,Part -Time Member
2008_09_names.txt,100,Pat rice C. Noé (Part -Time Member),Pat rice C. Noé,Part -Time Member
2008_09_names.txt,103,John Nolan (Part -Time Member),John Nolan,Part -Time Member
2008_09_names.txt,105,Jean-Paul Pilon,Jean-Paul Pilon,
2008_09_names.txt,107,Lloyd Phillipps,Lloyd Phillipps,
2008_09_names.txt,109,Jana Rozehnal,Jana Rozehnal,
2008_09_names.txt,111,Egya Sangmuah,Egya Sangmuah,
2008_09_names.txt,115,Andi Shi,Andi Shi,
2008_09_names.txt,118,Yasmeen Siddiqui (Part -Time Member),Yasmeen Siddiqui,Part -Time Member
2008_09_names.txt,121,Michael G. Soo (Part -Time Member),Michael G. Soo,Part -Time Member
2008_09_names.txt,125,Gerald Taylor,Gerald Taylor,
2008_09_names.txt,127,Jeanie Theoharis,Jeanie Theoharis,
2008_09_names.txt,129,Christ opher Trueman,Christ opher Trueman,
2008_09_names.txt,131,Elizabet h Usprich,Elizabet h Usprich,
2008_09_names.txt,135,Brad J. Wallace,Brad J. Wallace,
2008_09_names.txt,137,Karen Wallace,Karen Wallace,
2008_09_names.txt,139,William Weissglas (Part -Time Member),William Weissglas,Part -Time Member
2008_09_names.txt,142,Mike Welsh,Mike Welsh,
2008_09_names.txt,144,Karol Wronecki (Part -Time Member),Karol Wronecki,Part -Time Member
2009_10_names.txt,3,Kim E. Bugby,Kim E. Bugby,
2009_10_names.txt,4,Eli Fellman,Eli Fellman,
2009_10_names.txt,5,Régent P. Gagnon,Régent P. Gagnon,
2009_10_names.txt,7,Murray William Graham,Murray William Graham,
2009_10_names.txt,9,Sean Henry,Sean Henry,
2009_10_names.txt,10,Guy William Savoie,Guy William Savoie,
2009_10_names.txt,11,Jonelle Elizabet h van Delft,Jonelle Elizabet h van Delft,
2009_10_names.txt,15,Joseph A. Berkovit s,Joseph A. Berkovit s,
2009_10_names.txt,17,Louis Bourgon,Louis Bourgon,
2009_10_names.txt,19,Vincenza (Enza) Buffa,Vincenza  Buffa,Enza
2009_10_names.txt,21,William Burke,William Burke,
2009_10_names.txt,23,Rut h Carey,Rut h Carey,
2009_10_names.txt,25,Vincent Ching,Vincent Ching,
2009_10_names.txt,27,Shirley Jean Collins,Shirley Jean Collins,
2009_10_names.txt,28,Brian A. Cormier,Brian A. Cormier,
2009_10_names.txt,29,Nancy Fahlgren,Nancy Fahlgren,
2009_10_names.txt,31,Bit t u Kurian George,Bit t u Kurian George,
2009_10_names.txt,32,Suparna Ghosh (Part -Time Member),Suparna Ghosh,Part -Time Member
2009_10_names.txt,33,Pet ar Guzina,Pet ar Guzina,
2009_10_names.txt,35,Dan Helsberg,Dan Helsberg,
2009_10_names.txt,37,Brenna Homeniuk,Brenna Homeniuk,
2009_10_names.txt,38,Elke Homsi,Elke Homsi,
2009_10_names.txt,39,Anit a Louse Hort on,Anit a Louse Hort on,
2009_10_names.txt,40,Judy Ireland (Part -Time Member),Judy Ireland,Part -Time Member
2009_10_names.txt,42,Kennet h Jepson,Kennet h Jepson,
2009_10_names.txt,44,Greg Joy,Greg Joy,
2009_10_names.txt,45,Caroline A. A. King,Caroline A. A. King,
2009_10_names.txt,49,Vernon Wayne MacKinnon,Vernon Wayne MacKinnon,
2009_10_names.txt,51,Ina Maher (Part -Time Member),Ina Maher,Part -Time Member
2009_10_names.txt,53,Ieva Mart in,Ieva Mart in,
2009_10_names.txt,57,Brian McKee,Brian McKee,
2009_10_names.txt,59,James Grant (Jim) McMast er,James Grant  McMast er,Jim
2009_10_names.txt,61,Alan B. Mervin (Part -Time Member),Alan B. Mervin,Part -Time Member
